iter	Passed	Remaining
418	2507	3476
419	2513	3470
420	2519	3465
421	2525	3459
422	2531	3453
423	2537	3447
424	2544	3442
425	2550	3436
426	2556	3429
427	2561	3423
428	2567	3417
429	2573	3411
430	2579	3405
431	2586	3400
432	2591	3393
433	2596	3386
434	2602	3380
435	2608	3373
436	2614	3368
437	2620	3362
438	2626	3356
439	2632	3350
440	2638	3344
441	2644	3338
442	2650	3333
443	2656	3326
444	2661	3319
445	2667	3313
446	2672	3306
447	2678	3300
448	2684	3293
449	2689	3287
450	2695	3280
451	2700	3274
452	2706	3268
453	2712	3261
454	2717	3255
455	2723	3248
456	2729	3242
457	2734	3236
458	2740	3230
459	2747	3224
460	2752	3218
461	2758	3212
462	2764	3206
463	2770	3200
464	2776	3194
465	2782	3188
466	2788	3182
467	2794	3176
468	2799	3170
469	2806	3164
470	2812	3158
471	2818	3152
472	2823	3146
473	2829	3140
474	2835	3134
475	2841	3128
476	2847	3121
477	2853	3115
478	2859	3109
479	2864	3103
480	2870	3097
481	2877	3092
482	2883	3086
483	2889	3080
484	2895	3074
485	2900	3067
486	2906	3061
487	2912	3055
488	2918	3049
489	2923	3043
490	2929	3037
491	2935	3030
492	2940	3023
493	2945	3017
494	2951	3010
495	2956	3003
496	2961	2997
497	2967	2991
498	2973	2985
499	2978	2978
500	2983	2971
501	2989	2965
502	2995	2959
503	3000	2953
504	3006	2946
505	3011	2940
506	3017	2934
507	3023	2928
508	3029	2922
509	3035	2916
510	3041	2910
511	3047	2904
512	3054	2899
513	3059	2893
514	3065	2887
515	3072	2881
516	3078	2875
517	3084	2869
518	3090	2863
519	3096	2858
520	3101	2851
521	3107	2845
522	3112	2839
523	3118	2832
524	3124	2827
525	3130	2820
526	3135	2814
527	3141	2808
528	3146	2801
529	3152	2795
530	3158	2789
531	3163	2783
532	3169	2777
533	3175	2770
534	3181	2765
535	3186	2758
536	3192	2752
537	3197	2745
538	3203	2739
539	3209	2733
540	3215	2727
541	3220	2721
542	3226	2715
543	3232	2709
544	3238	2703
545	3243	2697
546	3249	2690
547	3254	2684
548	3261	2678
549	3266	2672
550	3272	2666
551	3277	2660
552	3283	2654
553	3289	2648
554	3295	2642
555	3300	2635
556	3306	2629
557	3312	2623
558	3318	2617
559	3323	2611
560	3329	2605
561	3334	2598
562	3340	2592
563	3346	2587
564	3352	2580
565	3357	2574
566	3363	2568
567	3369	2562
568	3375	2556
569	3381	2550
570	3387	2544
571	3393	2539
572	3399	2533
573	3405	2527
574	3410	2520
575	3416	2514
576	3421	2508
577	3427	2502
578	3433	2496
579	3439	2490
580	3445	2484
581	3451	2478
582	3457	2472
583	3463	2466
584	3469	2461
585	3474	2455
586	3480	2449
587	3486	2442
588	3491	2436
589	3497	2430
590	3502	2424
591	3508	2417
592	3514	2411
593	3519	2405
594	3525	2399
595	3531	2393
596	3536	2387
597	3542	2381
598	3548	2375
599	3553	2368
600	3559	2363
601	3566	2357
602	3571	2351
603	3577	2345
604	3583	2339
605	3589	2333
606	3594	2327
607	3600	2321
608	3606	2315
609	3612	2309
610	3617	2303
611	3623	2297
612	3629	2291
613	3634	2285
614	3640	2279
615	3646	2273
