iter	Logloss
0	0.6639554965
1	0.6388592639
2	0.6133151223
3	0.5917216076
4	0.5713899227
5	0.5521404327
6	0.5338567928
7	0.5173280825
8	0.5026713852
9	0.4886954683
10	0.4762309504
11	0.4644535052
12	0.4545472093
13	0.4448546975
14	0.4372151527
15	0.4303649792
16	0.4226620956
17	0.4152822895
18	0.4084896075
19	0.4022141371
20	0.3965542338
21	0.391252655
22	0.3861430355
23	0.382186776
24	0.3776849137
25	0.3735823525
26	0.369746429
27	0.3659988139
28	0.3625708233
29	0.3591004558
30	0.356140476
31	0.3540115798
32	0.350863491
33	0.3481469249
34	0.3455597117
35	0.3434036955
36	0.34115585
37	0.3393047569
38	0.3375445315
39	0.3352394789
40	0.3339087803
41	0.332048829
42	0.3308005544
43	0.329042534
44	0.3280157354
45	0.3268332061
46	0.3257369191
47	0.3244255748
48	0.3231853801
49	0.3221293062
50	0.3211429614
51	0.319608423
52	0.3184658656
53	0.3173915756
54	0.316144488
55	0.3153653215
56	0.3144437709
57	0.3132858133
58	0.3127528455
59	0.3119852137
60	0.3111399092
61	0.31043072
62	0.3098727601
63	0.3091836876
64	0.3084552777
65	0.3077817313
66	0.307214537
67	0.3064812987
68	0.305586978
69	0.3046730029
70	0.3038162337
71	0.3033078418
72	0.3023795018
73	0.3018186181
74	0.3013093848
75	0.3007862301
76	0.3001811893
77	0.2994392166
78	0.2987685934
79	0.2983035074
80	0.2978931816
81	0.2974015426
82	0.2965903826
83	0.2961481707
84	0.2956925328
85	0.2951071093
86	0.2946315664
87	0.294268915
88	0.2938374355
89	0.2931370144
90	0.2926318049
91	0.2921114886
92	0.2915816509
93	0.2909616191
94	0.2904102494
95	0.2900840955
96	0.2896144175
97	0.2889247661
98	0.288584645
99	0.2881948683
100	0.2877229107
101	0.2874770035
102	0.286937182
103	0.2866092564
104	0.2861513635
105	0.2855468084
106	0.2849549929
107	0.2846490058
108	0.2844077676
109	0.2839699214
110	0.2836003924
111	0.2831050959
112	0.2827796314
113	0.2824922542
114	0.2820067424
115	0.2815638896
116	0.2813244366
117	0.2810671116
